Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,GameCaro\GameCaro.csproj,File,GameCaro\GameCaro.csproj,,,Microsoft.Bcl.AsyncInterfaces 5.0.0,,,,,"Microsoft.Bcl.AsyncInterfaces, 5.0.0  Recommendation:  Remove Microsoft.Bcl.AsyncInterfaces, and replace with new package Microsoft.Bcl.AsyncInterfaces 8.0.0"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,GameCaro\GameCaro.csproj,File,GameCaro\GameCaro.csproj,,,Microsoft.Extensions.Logging.Abstractions 2.0.0,,,,,"Microsoft.Extensions.Logging.Abstractions, 2.0.0  Recommendation:  Remove Microsoft.Extensions.Logging.Abstractions, and replace with new package Microsoft.Extensions.Logging.Abstractions 8.0.3"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,GameCaro\GameCaro.csproj,File,GameCaro\GameCaro.csproj,,,Microsoft.Win32.Registry 5.0.0,,,,,"Microsoft.Win32.Registry, 5.0.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,GameCaro\GameCaro.csproj,File,GameCaro\GameCaro.csproj,,,System.Buffers 4.5.1,,,,,"System.Buffers, 4.5.1  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,GameCaro\GameCaro.csproj,File,GameCaro\GameCaro.csproj,,,System.Diagnostics.DiagnosticSource 6.0.1,,,,,"System.Diagnostics.DiagnosticSource, 6.0.1  Recommendation:  Remove System.Diagnostics.DiagnosticSource, and replace with new package System.Diagnostics.DiagnosticSource 8.0.1"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,GameCaro\GameCaro.csproj,File,GameCaro\GameCaro.csproj,,,System.IO 4.3.0,,,,,"System.IO, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,GameCaro\GameCaro.csproj,File,GameCaro\GameCaro.csproj,,,System.Memory 4.5.5,,,,,"System.Memory, 4.5.5  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,GameCaro\GameCaro.csproj,File,GameCaro\GameCaro.csproj,,,System.Net.Http 4.3.4,,,,,"System.Net.Http, 4.3.4  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,GameCaro\GameCaro.csproj,File,GameCaro\GameCaro.csproj,,,System.Numerics.Vectors 4.5.0,,,,,"System.Numerics.Vectors, 4.5.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,GameCaro\GameCaro.csproj,File,GameCaro\GameCaro.csproj,,,System.Runtime 4.3.0,,,,,"System.Runtime, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,GameCaro\GameCaro.csproj,File,GameCaro\GameCaro.csproj,,,System.Runtime.CompilerServices.Unsafe 6.0.0,,,,,"System.Runtime.CompilerServices.Unsafe, 6.0.0  Recommendation:  Remove System.Runtime.CompilerServices.Unsafe, and replace with new package System.Runtime.CompilerServices.Unsafe 6.1.2"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,GameCaro\GameCaro.csproj,File,GameCaro\GameCaro.csproj,,,System.Runtime.InteropServices.RuntimeInformation 4.3.0,,,,,"System.Runtime.InteropServices.RuntimeInformation, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,GameCaro\GameCaro.csproj,File,GameCaro\GameCaro.csproj,,,System.Security.AccessControl 5.0.0,,,,,"System.Security.AccessControl, 5.0.0  Recommendation:  Remove System.Security.AccessControl, and replace with new package System.Security.AccessControl 6.0.1"
